#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2.439  1.119102028e-43  3.791111819e+16  
   2.44   1.121298361e-43  3.789843181e+16  
   2.441  1.123496556e-43  3.788151665e+16  
   2.442  1.125696616e-43  3.786037269e+16  
   2.443  1.127898539e-43  3.784345752e+16  
   2.444  1.130102326e-43  3.782654235e+16  
   2.445  1.132307977e-43  3.780962719e+16  
   2.446  1.134515492e-43  3.714147809e+16  
   2.447  1.136724872e-43  3.712456292e+16  
   2.448  1.138936116e-43  3.711187654e+16  
   2.449  1.141149225e-43  3.7082275e+16    
   2.45   1.143364199e-43  3.706113104e+16  
   2.451  1.145581038e-43  3.704421588e+16  
   2.452  1.147799742e-43  3.700615675e+16  
   2.453  1.150020312e-43  3.698924158e+16  
   2.454  1.152242747e-43  3.696809762e+16  
   2.455  1.154467048e-43  3.695541125e+16  
   2.456  1.156693214e-43  3.693849608e+16  
   2.457  1.158921247e-43  3.692580971e+16  
   2.458  1.161151146e-43  3.691312333e+16  
   2.459  1.163382911e-43  3.689620816e+16  
   2.46   1.165616543e-43  3.687506421e+16  
   2.461  1.167852041e-43  3.686237783e+16  
   2.462  1.170089406e-43  3.671859891e+16  
   2.463  1.172328638e-43  3.670591253e+16  
   2.464  1.174569737e-43  3.668899737e+16  
   2.465  1.176812703e-43  3.667631099e+16  
   2.466  1.179057537e-43  3.665939583e+16  
   2.467  1.181304238e-43  3.664670945e+16  
   2.468  1.183552807e-43  3.663402307e+16  
   2.469  1.185803244e-43  3.661710791e+16  
   2.47   1.188055549e-43  3.660019274e+16  
   2.471  1.190309721e-43  3.656213361e+16  
   2.472  1.192565763e-43  3.654944724e+16  
   2.473  1.194823672e-43  3.652830328e+16  
   2.474  1.19708345e-43   3.649870174e+16  
   2.475  1.199345097e-43  3.648178657e+16  
   2.476  1.201608613e-43  3.64648714e+16   
   2.477  1.203873997e-43  3.645218503e+16  
   2.478  1.206141251e-43  3.643526986e+16  
   2.479  1.208410374e-43  3.642258349e+16  
   2.48   1.210681366e-43  3.639298194e+16  
   2.481  1.212954228e-43  3.637606678e+16  
   2.482  1.21522896e-43   3.63633804e+16   
   2.483  1.217505561e-43  3.634646523e+16  
   2.484  1.219784033e-43  3.633377886e+16  
   2.485  1.222064374e-43  3.631686369e+16  
   2.486  1.224346586e-43  3.630417732e+16  
   2.487  1.226630668e-43  3.629149094e+16  
   2.488  1.228916621e-43  3.62618894e+16   
   2.489  1.231204444e-43  3.624497423e+16  
   2.49   1.233494138e-43  3.623228786e+16  
   2.491  1.235785703e-43  3.621537269e+16  
   2.492  1.238079138e-43  3.620268631e+16  
   2.493  1.240374445e-43  3.618154236e+16  
   2.494  1.242671624e-43  3.608850894e+16  
   2.495  1.244970673e-43  3.607159377e+16  
   2.496  1.247271594e-43  3.60546786e+16   
   2.497  1.249574387e-43  3.603776344e+16  
   2.498  1.251879052e-43  3.602084827e+16  
   2.499  1.254185588e-43  3.600816189e+16  
   2.5    1.256493997e-43  3.59024421e+16   
   2.501  1.258804278e-43  3.588552693e+16  
   2.502  1.261116431e-43  3.587284056e+16  
   2.503  1.263430456e-43  3.585592539e+16  
   2.504  1.265746354e-43  3.584323901e+16  
   2.505  1.268064125e-43  3.582632385e+16  
   2.506  1.270383768e-43  3.580517989e+16  
   2.507  1.272705284e-43  3.579249351e+16  
   2.508  1.275028674e-43  3.577980714e+16  
   2.509  1.277353936e-43  3.576289197e+16  
   2.51   1.279681072e-43  3.57459768e+16   
   2.511  1.282010081e-43  3.572906164e+16  
   2.512  1.284340964e-43  3.571637526e+16  
   2.513  1.28667372e-43   3.569946009e+16  
   2.514  1.28900835e-43   3.567831614e+16  
   2.515  1.291344853e-43  3.566140097e+16  
   2.516  1.293683231e-43  3.564871459e+16  
   2.517  1.296023483e-43  3.563179943e+16  
   2.518  1.298365609e-43  3.561911305e+16  
   2.519  1.300709609e-43  3.560219788e+16  
   2.52   1.303055484e-43  3.558951151e+16  
   2.521  1.305403233e-43  3.557259634e+16  
   2.522  1.307752857e-43  3.555568117e+16  
   2.523  1.310104356e-43  3.553453722e+16  
   2.524  1.312457729e-43  3.552185084e+16  
   2.525  1.314812978e-43  3.550493567e+16  
   2.526  1.317170101e-43  3.546264776e+16  
   2.527  1.3195291e-43    3.544573259e+16  
   2.528  1.321889974e-43  3.542881742e+16  
   2.529  1.324252724e-43  3.541613105e+16  
   2.53   1.326617349e-43  3.540344467e+16  
   2.531  1.32898385e-43   3.53865295e+16   
   2.532  1.331352226e-43  3.537384313e+16  
   2.533  1.333722478e-43  3.535269917e+16  
   2.534  1.336094607e-43  3.5335784e+16    
   2.535  1.338468611e-43  3.532309763e+16  
   2.536  1.340844491e-43  3.530195367e+16  
   2.537  1.343222248e-43  3.528926729e+16  
   2.538  1.345601881e-43  3.527235213e+16  
   2.539  1.347983391e-43  3.525966575e+16  
   2.54   1.350366777e-43  3.524275058e+16  
   2.541  1.35275204e-43   3.523006421e+16  
   2.542  1.355139179e-43  3.519623387e+16  
   2.543  1.357528196e-43  3.516240354e+16  
   2.544  1.359919089e-43  3.514971716e+16  
   2.545  1.36231186e-43   3.510320046e+16  
   2.546  1.364706507e-43  3.507359891e+16  
   2.547  1.367103032e-43  3.505668375e+16  
   2.548  1.369501435e-43  3.504399737e+16  
   2.549  1.371901715e-43  3.50270822e+16   
   2.55   1.374303872e-43  3.501439583e+16  
